,Pressure
0,1240.9333333333334
1,1240.7583333333332
2,1240.9333333333334
3,1240.7583333333332
4,1240.9333333333334
5,1240.9333333333334
6,1240.5833333333335
7,1240.5833333333335
8,1240.4666666666667
9,1240.7583333333332
10,1240.4666666666667
11,1240.4666666666667
12,1240.2916666666665
13,1240.1166666666668
14,1240.1166666666668
15,1240.0
16,1240.1166666666668
17,1240.1166666666668
18,1240.4666666666667
19,1240.2916666666665
20,1240.1166666666668
21,1240.2916666666665
22,1240.2916666666665
23,1240.1166666666668
24,1240.0
25,1240.1166666666668
26,1240.0
27,1240.1166666666668
28,1240.2916666666665
29,1240.1166666666668
30,1240.1166666666668
31,1239.65
32,1239.65
33,1240.0
34,1240.2916666666665
35,1240.0
36,1239.65
37,1240.1166666666668
38,1239.825
39,1239.825
40,1239.65
41,1239.3583333333333
42,1239.65
43,1239.475
44,1239.65
45,1240.1166666666668
46,1239.65
47,1240.0
48,1240.0
49,1240.0
50,1239.65
51,1239.825
52,1239.825
53,1239.825
54,1239.475
55,1239.65
56,1239.475
57,1239.3583333333333
58,1239.475
59,1239.3583333333333
60,1239.65
61,1239.3583333333333
62,1239.475
63,1239.475
64,1239.3583333333333
65,1239.3583333333333
66,1239.3583333333333
67,1239.1833333333334
68,1239.1833333333334
69,1238.8916666666667
70,1239.1833333333334
71,1239.0083333333332
72,1239.1833333333334
73,1239.0083333333332
74,1239.0083333333332
75,1239.0083333333332
76,1239.1833333333334
77,1238.8916666666667
78,1238.8916666666667
79,1238.8916666666667
80,1239.0083333333332
81,1238.7166666666667
82,1239.3583333333333
83,1239.0083333333332
84,1239.0083333333332
85,1238.7166666666667
86,1238.8916666666667
87,1239.0083333333332
88,1238.8916666666667
89,1238.7166666666667
90,1238.5416666666665
91,1238.425
92,1238.5416666666665
93,1238.425
94,1238.5416666666665
95,1238.5416666666665
96,1238.425
97,1238.25
98,1238.25
99,1238.25
100,1238.425
101,1237.9583333333335
102,1238.075
103,1238.5416666666665
104,1238.25
105,1238.075
106,1238.25
107,1238.25
108,1238.5416666666665
109,1238.25
110,1238.5416666666665
111,1238.5416666666665
112,1238.5416666666665
113,1238.425
114,1238.5416666666665
115,1238.7166666666667
116,1238.7166666666667
117,1238.425
118,1238.7166666666667
119,1238.425
120,1238.25
121,1238.5416666666665
122,1238.25
123,1238.425
124,1238.5416666666665
125,1238.425
126,1238.425
127,1238.425
128,1238.075
129,1238.425
130,1238.425
131,1238.5416666666665
132,1238.425
133,1238.425
134,1238.7166666666667
135,1238.5416666666665
136,1238.5416666666665
137,1238.8916666666667
138,1238.5416666666665
139,1238.8916666666667
140,1238.7166666666667
141,1238.5416666666665
142,1239.0083333333332
143,1238.7166666666667
144,1238.7166666666667
145,1238.25
146,1238.7166666666667
147,1238.5416666666665
148,1238.5416666666665
149,1238.5416666666665
150,1238.5416666666665
151,1238.425
152,1238.425
153,1238.25
154,1238.425
155,1238.7166666666667
156,1238.7166666666667
157,1238.7166666666667
158,1238.8916666666667
159,1238.5416666666665
160,1238.7166666666667
161,1238.7166666666667
162,1238.7166666666667
163,1238.8916666666667
164,1238.7166666666667
165,1238.5416666666665
166,1239.0083333333332
167,1239.1833333333334
168,1238.8916666666667
169,1238.8916666666667
170,1238.8916666666667
171,1238.8916666666667
172,1239.0083333333332
173,1238.8916666666667
174,1238.8916666666667
175,1239.1833333333334
176,1238.8916666666667
177,1239.0083333333332
178,1238.8916666666667
179,1238.8916666666667
180,1238.5416666666665
181,1238.5416666666665
182,1238.7166666666667
183,1238.5416666666665
184,1238.8916666666667
185,1239.0083333333332
186,1239.0083333333332
187,1239.0083333333332
188,1238.7166666666667
189,1239.0083333333332
190,1239.1833333333334
191,1239.1833333333334
192,1238.8916666666667
193,1238.8916666666667
194,1238.7166666666667
195,1238.7166666666667
196,1239.0083333333332
197,1239.1833333333334
198,1239.0083333333332
199,1238.7166666666667
200,1238.5416666666665
201,1238.8916666666667
202,1238.8916666666667
203,1238.8916666666667
204,1238.8916666666667
205,1238.8916666666667
206,1239.0083333333332
207,1239.1833333333334
208,1238.7166666666667
209,1238.8916666666667
210,1238.7166666666667
211,1238.7166666666667
212,1238.7166666666667
213,1238.8916666666667
214,1238.8916666666667
215,1239.0083333333332
216,1239.1833333333334
217,1239.1833333333334
218,1239.3583333333333
219,1239.1833333333334
220,1239.0083333333332
221,1239.0083333333332
222,1239.1833333333334
223,1239.0083333333332
224,1239.1833333333334
225,1239.3583333333333
226,1239.475
227,1239.0083333333332
228,1238.7166666666667
229,1238.7166666666667
230,1239.0083333333332
231,1239.1833333333334
232,1239.3583333333333
233,1239.0083333333332
234,1239.3583333333333
235,1239.1833333333334
236,1239.1833333333334
237,1239.0083333333332
238,1239.1833333333334
239,1239.1833333333334
240,1239.475
241,1239.475
242,1239.3583333333333
243,1239.475
244,1239.65
245,1239.65
246,1239.1833333333334
247,1239.475
248,1239.475
249,1239.65
250,1239.3583333333333
251,1239.65
252,1239.825
253,1239.825
254,1239.475
255,1239.65
256,1239.3583333333333
257,1240.0
258,1239.825
259,1240.0
260,1239.825
261,1240.1166666666668
262,1240.0
263,1240.0
264,1240.1166666666668
265,1240.0
266,1240.1166666666668
267,1240.1166666666668
268,1240.2916666666665
269,1240.0
270,1240.1166666666668
271,1240.1166666666668
272,1239.825
273,1240.0
274,1240.2916666666665
275,1240.1166666666668
276,1240.1166666666668
277,1240.4666666666667
278,1240.2916666666665
279,1240.5833333333335
280,1240.5833333333335
281,1240.5833333333335
282,1240.4666666666667
283,1240.7583333333332
284,1240.7583333333332
285,1240.4666666666667
286,1240.9333333333334
287,1240.4666666666667
288,1240.4666666666667
289,1240.5833333333335
