,AP689,AG083,AZ649,CA186,CA969,AP707
0,1041.025,1040.825,1040.875,1041.125,1040.75,1040.875
1,1040.85,1041.125,1040.825,1040.75,1040.875,1040.95
2,1040.9,1040.75,1041.125,1040.875,1040.575,1040.875
3,1041.1,1040.875,1040.75,1040.575,1040.875,1041.0
4,1041.1,1040.575,1040.875,1040.875,1040.95,1041.2
5,1041.1,1040.875,1040.575,1040.95,1040.875,1041.225
6,1041.025,1040.95,1040.875,1040.875,1041.0,1041.15
7,1040.975,1040.875,1040.95,1041.0,1041.2,1040.95
8,1041.025,1041.0,1040.875,1041.2,1041.225,1040.95
9,1041.025,1041.2,1041.0,1041.225,1041.15,1041.1
10,1041.1,1041.225,1041.2,1041.15,1040.95,1041.025
11,1041.1,1041.15,1041.225,1040.95,1040.95,1040.85
12,1041.1,1040.95,1041.15,1040.95,1041.1,1040.9
13,1041.025,1040.95,1040.95,1041.1,1041.025,1041.1
14,1041.1,1041.1,1040.95,1041.025,1040.85,1041.1
15,1040.9,1041.025,1041.1,1040.85,1040.9,1041.1
16,1040.775,1040.85,1041.025,1040.9,1041.1,1041.025
17,1040.775,1040.9,1040.85,1041.1,1041.1,1040.975
18,1040.975,1041.1,1040.9,1041.1,1041.1,1041.025
19,1040.775,1041.1,1041.1,1041.1,1041.025,1041.025
20,1040.775,1041.1,1041.1,1041.025,1040.975,1041.1
21,1040.85,1041.025,1041.1,1040.975,1041.025,1041.1
22,1040.85,1040.975,1041.025,1041.025,1041.025,1041.1
23,1040.6,1041.025,1040.975,1041.025,1041.1,1041.025
24,1040.6,1041.025,1041.025,1041.1,1041.1,1041.1
25,1040.4,1041.1,1041.025,1041.1,1041.1,1040.9
26,1040.4,1041.1,1041.1,1041.1,1041.025,1040.775
27,1040.275,1041.1,1041.1,1041.025,1041.1,1040.775
28,1040.525,1041.025,1041.1,1041.1,1040.9,1040.975
29,1040.225,1041.1,1041.025,1040.9,1040.775,1040.775
30,1040.475,1040.9,1041.1,1040.775,1040.775,1040.775
31,1040.65,1040.775,1040.9,1040.775,1040.975,1040.85
32,1040.725,1040.775,1040.775,1040.975,1040.775,1040.85
33,1040.85,1040.975,1040.775,1040.775,1040.775,1040.6
34,1040.525,1040.775,1040.975,1040.775,1040.85,1040.6
35,1040.475,1040.775,1040.775,1040.85,1040.85,1040.4
36,1040.725,1040.85,1040.775,1040.85,1040.6,1040.4
37,1040.6,1040.85,1040.85,1040.6,1040.6,1040.275
38,1040.525,1040.6,1040.85,1040.6,1040.4,1040.525
