date,time,air_temperature,rel_humidity,precipitation,wind_speed,wind_direction,radiation,radiation_short
1/1/2021,0:00,1.28,100,0,0.98,347.33,0,0
1/1/2021,1:00,1.43,100,0,1.2,347.33,0,0
1/1/2021,2:00,1.67,100,0,0.79,347.33,0,0
1/1/2021,3:00,1.53,100,0,0.52,347.33,0,0
1/1/2021,4:00,1.08,100,0,1,347.33,0,0
1/1/2021,5:00,1.23,100,0,1.06,347.33,0,0
1/1/2021,6:00,1.38,100,0,1.19,347.24,0,0
1/1/2021,7:00,1.13,100,0,0.88,347.33,0,0
1/1/2021,8:00,1.26,100,0,1.34,267.36,0.48,1.15
1/1/2021,9:00,1.37,100,0,1.31,240.7,6.21,19.9
1/1/2021,10:00,1.2,100,0,1.14,240.7,13.5,58.5
1/1/2021,11:00,1.75,100,0,1.59,240.7,59.19,90.9
1/1/2021,12:00,3.62,96.95,0,1.59,231.82,103.63,101.95
1/1/2021,13:00,5.2,89.38,0,2.13,252.49,113.2,96.7
1/1/2021,14:00,5.59,85.35,0,2.58,221.52,86.53,73.55
1/1/2021,15:00,4.8,88.87,0,2.26,240.53,19.39,34
1/1/2021,16:00,3.9,92.75,0,1.76,192.49,5.7,6.35
1/1/2021,17:00,2.53,95.54,0,1.36,200.94,0.13,0
1/1/2021,18:00,2.45,98.19,0,1.46,192.94,0,0
1/1/2021,19:00,2.3,97.86,0,2.16,224.25,0,0
1/1/2021,20:00,1.7,97.75,0,1.87,225.13,0,0
1/1/2021,21:00,1.39,97.5,0,2.17,231.11,0,0
1/1/2021,22:00,1.53,97.15,0,1.77,208.33,0,0
1/1/2021,23:00,1.49,97.88,0,1.12,193.2,0,0
2/1/2021,0:00,1.46,100,0.2,1.64,214.93,0,0
2/1/2021,1:00,1.5,100,0,1.33,205.95,0,0
2/1/2021,2:00,1.2,100,0,1.35,240,0,0
2/1/2021,3:00,0.82,100,0,1.1,254.17,0,0
2/1/2021,4:00,0.94,100,0,1.02,209.3,0,0
2/1/2021,5:00,1.29,100,0,0.63,214.58,0,0
2/1/2021,6:00,1.48,100,0,0.83,231.47,0,0
